id,Filename,Resolución,Etiqueta
0,n02110627_10225.jpg,"(224, 224)",Affenpinscher
1,n02110627_10437.jpg,"(224, 224)",Affenpinscher
2,n02110627_10439.jpg,"(224, 224)",Affenpinscher
3,n02110627_10447.jpg,"(224, 224)",Affenpinscher
4,n02110627_10848.jpg,"(224, 224)",Affenpinscher
5,n02110627_10859.jpg,"(224, 224)",Affenpinscher
6,n02110627_10986.jpg,"(224, 224)",Affenpinscher
7,n02110627_11211.jpg,"(224, 224)",Affenpinscher
8,n02110627_11263.jpg,"(224, 224)",Affenpinscher
9,n02110627_11279.jpg,"(224, 224)",Affenpinscher
10,n02110627_11283.jpg,"(224, 224)",Affenpinscher
11,n02110627_11345.jpg,"(224, 224)",Affenpinscher
12,n02110627_11365.jpg,"(224, 224)",Affenpinscher
13,n02110627_11422.jpg,"(224, 224)",Affenpinscher
14,n02110627_11435.jpg,"(224, 224)",Affenpinscher
15,n02110627_11584.jpg,"(224, 224)",Affenpinscher
16,n02110627_11614.jpg,"(224, 224)",Affenpinscher
17,n02110627_11663.jpg,"(224, 224)",Affenpinscher
18,n02110627_11783.jpg,"(224, 224)",Affenpinscher
19,n02110627_11811.jpg,"(224, 224)",Affenpinscher
20,n02110627_11835.jpg,"(224, 224)",Affenpinscher
21,n02110627_11853.jpg,"(224, 224)",Affenpinscher
22,n02110627_11858.jpg,"(224, 224)",Affenpinscher
23,n02110627_11875.jpg,"(224, 224)",Affenpinscher
24,n02110627_11942.jpg,"(224, 224)",Affenpinscher
25,n02110627_12003.jpg,"(224, 224)",Affenpinscher
26,n02110627_12025.jpg,"(224, 224)",Affenpinscher
27,n02110627_12272.jpg,"(224, 224)",Affenpinscher
28,n02110627_12391.jpg,"(224, 224)",Affenpinscher
29,n02110627_12431.jpg,"(224, 224)",Affenpinscher
30,n02110627_12556.jpg,"(224, 224)",Affenpinscher
31,n02110627_12579.jpg,"(224, 224)",Affenpinscher
32,n02110627_12819.jpg,"(224, 224)",Affenpinscher
33,n02110627_12893.jpg,"(224, 224)",Affenpinscher
34,n02110627_12913.jpg,"(224, 224)",Affenpinscher
35,n02110627_12938.jpg,"(224, 224)",Affenpinscher
36,n02110627_12973.jpg,"(224, 224)",Affenpinscher
37,n02110627_12997.jpg,"(224, 224)",Affenpinscher
38,n02110627_13014.jpg,"(224, 224)",Affenpinscher
39,n02110627_13020.jpg,"(224, 224)",Affenpinscher
40,n02110627_13210.jpg,"(224, 224)",Affenpinscher
41,n02110627_13211.jpg,"(224, 224)",Affenpinscher
42,n02110627_13221.jpg,"(224, 224)",Affenpinscher
43,n02110627_13420.jpg,"(224, 224)",Affenpinscher
44,n02110627_13453.jpg,"(224, 224)",Affenpinscher
